CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
ODONTOLOGIA,10,680-730,"VESTIBULAR TRADICIONAL, VESTIBULAR AGENDADO, NOTA DO ENEM, TRANSFERÊNCIA, PORTADOR DE DIPLOMA",BACHARELADO,60,"CONSULTÓRIO PRÓPRIO, CLÍNICAS ODONTOLÓGICAS, HOSPITAIS, SUS E POSTOS DE SAÚDE, CONCURSOS PÚBLICOS, DOCÊNCIA E PESQUISA","3.000,00-6.000,00",15-35,SÃO JOSÉ,PRESENCIAL,MANHÃ/NOITE,"Nosso curso busca não só a excelência acadêmica, mas também promove a saúde bucal como um direito essencial, comprometendo-se com a comunidade. Buscamos formar profissionais éticos e capacitados, conscientes de seu papel na sociedade, visando contribuir para sorrisos mais saudáveis e felizes em nossas comunidades.",https://faculdadececape.edu.br/graduacao-em-odontologia/,Saúde
RADIOLOGIA,6,550-680,"VESTIBULAR TRADICIONAL E AGENDADO, NOTA DO ENEM, FIES, BOLSAS E CONVÊNIOS",TECNÓLOGO,75,"RAIO-X, TOMOGRAFIA, RESSONÂNCIA MAGNÉTICA, MAMOGRAFIA, MEDICINA NUCLEAR, RADIOTERAPIA, HEMODINÂMICA, RADIOLOGIA ODONTOLÓGICA, RADIOLOGIA VETERINÁRIA, RADIOLOGIA INDUSTRIAL","2.300,00-4.000,00",20-45,TRIÂNGULO,PRESENCIAL,NOTURNO,"A graduação possui o objetivo de passar ao estudante sobre o preparo de pacientes e o uso de materiais e equipamentos para exames e aplicação de radioterapia, além da produção de imagens e gráficos usados para ajudar em diagnósticos. Oferecendo uma sólida formação profissional, levando em conta a humanização para um conhecimento mais apurado e abrangente.",https://faculdadececape.edu.br/graduacao-em-radiologia/,Saúde
DIREITO,10,630-715,"VESTIBULAR TRADICIONAL (PRESENCIAL OU AGENDADO), NOTA DO ENEM, TRANSFERÊNCIA EXTERNA, BOLSAS SOCIAIS",BACHARELADO,113,"ADVOCACIA, ESCRITÓRIOS, CONSULTORIA JURÍDICA, SETOR EMPRESARIAL, CONTRATOS, DIREITO TRABALHISTA, PREVIDENCIÁRIO, CRIMINAL, CIVIL","2.000,00-5.000,00",25-60,SÃO JOSÉ,PRESENCIAL,NOTURNO,"O curso de Direito da Faculdade CECAPE está comprometido em formar profissionais com habilidades voltadas as formas alternativas de resolução de conflitos, como um mecanismo mais ágil diante das agruras experimentadas por aqueles que precisam aguardar a solução da demanda pelo Poder Judiciário, contribuindo de forma efetiva para o desenvolvimento da região e proporcionando a tão almejada justiça para aqueles que a buscam.",https://faculdadececape.edu.br/graduacao-de-direito/,Humanas & Educação
ENFERMAGEM,10,600-700,"VESTIBULAR ONLINE/AGENDADO, NOTA DO ENEM, GRADUADO, TRANSFERÊNCIA EXTERNA",BACHARELADO,40,"HOSPITAIS, UTI, EMERGÊNCIA, CENTRO CIRÚRGICO, POSTOS DE SAÚDE, SAMU, HOME CARE, SAÚDE DA FAMÍLIA, OBSTETRÍCIA, AUDITORIA HOSPITALAR, GESTÃO HOSPITALAR, DOCÊNCIA, CONCURSOS PÚBLICOS","3.000,00-5.000,00",10-25,SÃO JOSÉ,PRESENCIAL,MANHÃ/NOITE,"O curso de Enfermagem busca formar profissionais qualificados e ajudar na solução dos problemas de saúde da população, com responsabilidade e compromisso social.",https://faculdadececape.edu.br/graduacao-em-enfermagem,Saúde
